"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/SO-806121-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:06:00,"Nitrate-N","Nitrate as N","0117",NA,1.23,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"2","http://environment.data.gov.uk/water-quality/data/measurement/SO-806122-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:12:00,"Nitrate-N","Nitrate as N","0117",NA,1.3,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"3","http://environment.data.gov.uk/water-quality/data/measurement/SO-806123-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:20:00,"Nitrate-N","Nitrate as N","0117",NA,0.469,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"4","http://environment.data.gov.uk/water-quality/data/measurement/SO-806124-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:26:00,"Nitrate-N","Nitrate as N","0117",NA,0.807,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"5","http://environment.data.gov.uk/water-quality/data/measurement/SO-806125-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:30:00,"Nitrate-N","Nitrate as N","0117",NA,0.647,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"6","http://environment.data.gov.uk/water-quality/data/measurement/SO-806126-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0003709","SO-G0003709","DUMP MEON-*CLOSED*",2002-06-06 11:40:00,"Nitrate-N","Nitrate as N","0117",NA,0.686,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"7","http://environment.data.gov.uk/water-quality/data/measurement/SO-815699-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0017363","SO-G0017363","DUMP RIVER ITCHEN-*CLOSED*",2002-09-11 10:45:00,"Nitrate-N","Nitrate as N","0117",NA,2.38,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"8","http://environment.data.gov.uk/water-quality/data/measurement/SO-815700-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0017363","SO-G0017363","DUMP RIVER ITCHEN-*CLOSED*",2002-09-11 10:50:00,"Nitrate-N","Nitrate as N","0117",NA,2.37,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"9","http://environment.data.gov.uk/water-quality/data/measurement/SO-815701-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-G0017363","SO-G0017363","DUMP RIVER ITCHEN-*CLOSED*",2002-09-11 10:55:00,"Nitrate-N","Nitrate as N","0117",NA,2.32,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,5
"10","http://environment.data.gov.uk/water-quality/data/measurement/SW-2778216-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-63329999","SW-63329999","MISC BRISTOL AVON AVONCLIFF-R CHEW CONF",2004-08-03 12:53:00,"Nitrate-N","Nitrate as N","0117",NA,6.16,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",373000,165000
"11","http://environment.data.gov.uk/water-quality/data/measurement/SW-2778217-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-63329999","SW-63329999","MISC BRISTOL AVON AVONCLIFF-R CHEW CONF",2004-08-03 13:07:00,"Nitrate-N","Nitrate as N","0117",NA,6,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",373000,165000
"12","http://environment.data.gov.uk/water-quality/data/measurement/TH-915360-5507","http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PGWGS999","TH-PGWGS999","GROUNDWATER SEDIMENT N.C.R.S (S)",2006-08-04 09:30:00,"NO3 Ext DW","Nitrate (2M KCl extractable) : Dry Wt","5507","<",10,NA,"mg/kg","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,7
"13","http://environment.data.gov.uk/water-quality/data/measurement/TH-915361-5507","http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PGWGS999","TH-PGWGS999","GROUNDWATER SEDIMENT N.C.R.S (S)",2006-08-04 10:00:00,"NO3 Ext DW","Nitrate (2M KCl extractable) : Dry Wt","5507","<",10,NA,"mg/kg","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,7
"14","http://environment.data.gov.uk/water-quality/data/measurement/TH-915362-5507","http://environment.data.gov.uk/water-quality/id/sampling-point/TH-PGWGS999","TH-PGWGS999","GROUNDWATER SEDIMENT N.C.R.S (S)",2006-08-04 10:15:00,"NO3 Ext DW","Nitrate (2M KCl extractable) : Dry Wt","5507","<",10,NA,"mg/kg","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,7
"15","http://environment.data.gov.uk/water-quality/data/measurement/NW-1769544-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88021350","NW-88021350","WASTE SAMPLE MISC - CUMBRIA & LANCASHIRE",2008-09-23 11:55:00,"Nitrate-N","Nitrate as N","0117",NA,5.78,NA,"mg/l","ANY SOLID/SEDIMENT - UNSPECIFIED",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,4
