"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/NW-1441694-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003949","NW-88003949","BIRK BECK PTC RIVER LUNE",2000-08-30 10:00:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","BOREHOLE GAS",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",359864,505732
"2","http://environment.data.gov.uk/water-quality/data/measurement/NW-1425332-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003950","NW-88003950","CHAPEL BECK D/S COATFLAT BRIDGE PTC LUNE",2000-05-16 10:35:00,"Nitrate-N","Nitrate as N","0117",NA,1.41,NA,"mg/l","BOREHOLE GAS",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",362387,506494
"3","http://environment.data.gov.uk/water-quality/data/measurement/NW-1456266-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000075","NW-88000075","MISC SURFACE WATER DISCH IN DISTRICT 6",2001-01-16 16:45:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","BOREHOLE GAS",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,4
"4","http://environment.data.gov.uk/water-quality/data/measurement/AN-1336406-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70119004","AN-70119004","THORNHAUGH QUARRY TH04",2004-08-20 00:00:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",504300,300300
"5","http://environment.data.gov.uk/water-quality/data/measurement/AN-1336415-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70119012","AN-70119012","THORNHAUGH QUARRY TH12",2004-08-20 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,2.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",504300,300300
"6","http://environment.data.gov.uk/water-quality/data/measurement/AN-1336417-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70119014","AN-70119014","THORNHAUGH QUARRY TH14",2004-08-20 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,1.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",504300,300300
"7","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332816-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984001","AN-70984001","KENWICK LFS BH 1E",2004-02-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,16.7,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"8","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332815-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984001","AN-70984001","KENWICK LFS BH 1E",2004-03-16 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"9","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332817-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984001","AN-70984001","KENWICK LFS BH 1E",2004-05-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,16.9,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"10","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332818-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984001","AN-70984001","KENWICK LFS BH 1E",2004-07-19 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"11","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332812-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984001","AN-70984001","KENWICK LFS BH 1E",2004-11-09 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"12","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332827-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984002","AN-70984002","KENWICK LFS BH 2E",2004-03-16 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,9.7,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"13","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332829-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984002","AN-70984002","KENWICK LFS BH 2E",2004-05-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,9.5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"14","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332825-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984002","AN-70984002","KENWICK LFS BH 2E",2004-06-14 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,10.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"15","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332823-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984002","AN-70984002","KENWICK LFS BH 2E",2004-12-03 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,11.4,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"16","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332866-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984009","AN-70984009","KENWICK LFS BH 6",2004-08-27 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,6.5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"17","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332875-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984013","AN-70984013","KENWICK LFS BH 8",2004-07-19 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,8.7,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"18","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332868-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984013","AN-70984013","KENWICK LFS BH 8",2004-12-03 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,11.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"19","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332930-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-02-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,22.8,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"20","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332929-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-03-16 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,19.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"21","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332931-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-05-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,18.6,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"22","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332932-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-07-19 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,16.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"23","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332936-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-08-27 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"24","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332926-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-11-09 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,19.1,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"25","http://environment.data.gov.uk/water-quality/data/measurement/AN-1332925-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984019","AN-70984019","KENWICK LFS BH 12",2004-12-03 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,20,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"26","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333035-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-01-20 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,16.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"27","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333032-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-02-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"28","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333031-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-03-16 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.6,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"29","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333033-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-05-17 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"30","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333037-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-08-27 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"31","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333028-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-11-09 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,16.2,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"32","http://environment.data.gov.uk/water-quality/data/measurement/AN-1333027-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70984072","AN-70984072","KENWICK LFS BH1/99",2004-12-03 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,17.4,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",533800,384200
"33","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334563-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-01-07 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,1,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"34","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334557-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-03-03 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,1.5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"35","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334561-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-04-06 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.7,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"36","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334562-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-05-06 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.5,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"37","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334564-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-07-07 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.8,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"38","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334558-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-08-03 00:00:00,"Nitrate-N","Nitrate as N","0117","<",0.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"39","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334566-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986002","AN-70986002","KIRKBY ON BAIN LFS BH 2",2004-09-10 00:00:00,"Nitrate-N","Nitrate as N","0117","<",0.3,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
"40","http://environment.data.gov.uk/water-quality/data/measurement/AN-1334596-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-70986005","AN-70986005","KIRKBY ON BAIN LFS BH 5",2004-02-04 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,1,NA,"mg/l","BOREHOLE GAS",FALSE,"WASTE MONITORING (OPERATOR SELF-MONITORING DATA)",523400,361500
